date,AllPass (v5r),Rocket k=0.50
2009-10-19,100481.10096663459,93461.55647382245
2009-10-20,99452.12234610542,93461.55647382245
2009-10-21,97873.84242934211,93461.55647382245
2009-10-22,99595.0556919001,93461.55647382245
2009-10-23,98252.93534773811,93461.55647382245
2009-10-26,97316.1680952967,93461.55647382245
2009-10-27,96195.79316453346,93461.55647382245
2009-10-28,93194.47564555916,93461.55647382245
2009-10-29,93882.44329629691,93461.55647382245
2009-10-30,91352.7906969622,93461.55647382245
2009-11-02,92263.71352754386,93461.55647382245
2009-11-03,93021.00568948539,93461.55647382245
2009-11-04,93228.75298486503,93461.55647382245
2009-11-05,96284.99991510376,93461.55647382245
2009-11-06,96097.23867853149,93461.55647382245
2009-11-09,99768.50837381347,93461.55647382245
2009-11-10,100102.93561132415,93461.55647382245
2009-11-11,100423.07221181854,93461.55647382245
2009-11-12,98573.0021506308,93461.55647382245
